time,time (seconds),.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:01:31.939000,5.3,-0.272250056267,0.211650013924,0,0,0,0
1970/01/01/07:01:31.989000,5.35,-0.264649987221,0.205749988556,0,0,0,0
1970/01/01/07:01:32.039000,5.4,-0.257249951363,0.200000047684,0,0,0,0
1970/01/01/07:01:32.089000,5.45,-0.250100016594,0.194399952888,0,0,0,0
1970/01/01/07:01:32.139000,5.5,-0.243100047112,0.18900001049,0,0,0,0
1970/01/01/07:01:32.190000,5.55,-0.236350059509,0.183699965477,0,0,0,0
1970/01/01/07:01:32.240000,5.6,-0.229750037193,0.178599953651,0,0,0,0
1970/01/01/07:01:32.289000,5.65,-0.223350048065,0.17359995842,0,0,0,0
1970/01/01/07:01:32.340000,5.7,-0.217149972916,0.168799996376,0,0,0,0
1970/01/01/07:01:32.389000,5.75,-0.211099982262,0.164100050926,0,0,0,0
1970/01/01/07:01:32.439000,5.8,-0.205250024796,0.159549951553,0,0,0,0
1970/01/01/07:01:32.490000,5.85,-0.199550032616,0.155099987984,0,0,0,0
1970/01/01/07:01:32.539000,5.9,-0.194000005722,0.1507999897,0,0,0,0
1970/01/01/07:01:32.590000,5.95,-0.188599944115,0.146600008011,0,0,0,0
1970/01/01/07:01:32.639000,6,-0.183400034904,0.142549991608,0,0,0,0
1970/01/01/07:01:32.689000,6.05,-0.178300023079,0.138599991798,0,0,0,0
1970/01/01/07:01:32.739000,6.1,-0.173400044441,0.134799957275,0,0,0,0
1970/01/01/07:01:32.789000,6.15,-0.168599963188,0.131049990654,0,0,0,0
1970/01/01/07:01:32.840000,6.2,-0.163949966431,0.127449989319,0,0,0,0
1970/01/01/07:01:32.890000,6.25,-0.159399986267,0.123900055885,0,0,0,0
1970/01/01/07:01:32.939000,6.3,-0.15499997139,0.120499968529,0,0,0,0
1970/01/01/07:01:32.990000,6.35,-0.150699973106,0.117149949074,0,0,0,0
1970/01/01/07:01:33.039000,6.4,-0.146550059319,0.113950014114,0,0,0,0
1970/01/01/07:01:33.089000,6.45,-0.142500042915,0.110800027847,0,0,0,0
1970/01/01/07:01:33.139000,6.5,-0.138599991798,0.107750058174,0,0,0,0
1970/01/01/07:01:33.190000,6.55,-0.134799957275,0.104750037193,0,0,0,0
1970/01/01/07:01:33.239000,6.6,-0.131100058556,0.101899981499,0,0,0,0
1970/01/01/07:01:33.289000,6.65,-0.127449989319,0.0990999937057,0,0,0,0
1970/01/01/07:01:33.340000,6.7,-0.123950004578,0.0963499546051,0,0,0,0
1970/01/01/07:01:33.389000,6.75,-0.12055003643,0.0937000513077,0,0,0,0
1970/01/01/07:01:33.439000,6.8,-0.12055003643,0.0937000513077,0,0,0,0
1970/01/01/07:01:33.489000,6.85,-0.117249965668,0.0911500453949,0,0,0,0
1970/01/01/07:01:33.540000,6.9,-0.114050030708,0.0886499881744,0,0,0,0
1970/01/01/07:01:33.593000,6.95,-0.110900044441,0.0861999988556,0,0,0,0
1970/01/01/07:01:33.639000,7,-0.107849955559,0.0838500261307,0,0,0,0
1970/01/01/07:01:33.690000,7.05,-0.104799985886,0.0814499855042,0,0,0,0
1970/01/01/07:01:33.743000,7.1,-0.101850032806,0.0791499614716,0,0,0,0
1970/01/01/07:01:33.790000,7.15,-0.0989999771118,0.0769499540329,0,0,0,0
1970/01/01/07:01:33.839000,7.2,-0.0961999893188,0.0747499465942,0,0,0,0
1970/01/01/07:01:33.889000,7.25,-0.0935000181198,0.0726499557495,0,0,0,0
1970/01/01/07:01:33.939000,7.3,-0.0908499956131,0.0706000328064,0,0,0,0
1970/01/01/07:01:33.990000,7.35,-0.0882999897003,0.0686500072479,0,0,0,0
1970/01/01/07:01:34.039000,7.4,-0.0858000516891,0.0666999816895,0,0,0,0
1970/01/01/07:01:34.089000,7.45,-0.0834000110626,0.0648499727249,0,0,0,0
1970/01/01/07:01:34.140000,7.5,-0.0810500383377,0.0629999637604,0,0,0,0
1970/01/01/07:01:34.189000,7.55,-0.0787999629974,0.0612499713898,0,0,0,0
1970/01/01/07:01:34.240000,7.6,-0.0765500068665,0.0594999790192,0,0,0,0
1970/01/01/07:01:34.290000,7.65,-0.0743999481201,0.0578500032425,0,0,0,0
1970/01/01/07:01:34.339000,7.7,-0.072350025177,0.0562499761581,0,0,0,0
1970/01/01/07:01:34.390000,7.75,-0.0702999830246,0.0546499490738,0,0,0,0
1970/01/01/07:01:34.439000,7.8,-0.0683499574661,0.0531500577927,0,0,0,0
1970/01/01/07:01:34.489000,7.85,-0.0664499998093,0.0516500473022,0,0,0,0
1970/01/01/07:01:34.539000,7.9,-0.0645500421524,0.0501999855042,0,0,0,0
1970/01/01/07:01:34.589000,7.95,-0.0627499818802,0.0487999916077,0,0,0,0
1970/01/01/07:01:34.640000,8,-0.0609999895096,0.0474499464035,0,0,0,0
1970/01/01/07:01:34.689000,8.05,-0.0592999458313,0.0461000204086,0,0,0,0
1970/01/01/07:01:34.740000,8.1,-0.0576499700546,0.0448499917984,0,0,0,0
1970/01/01/07:01:34.790000,8.15,-0.0560499429703,0.0435999631882,0,0,0,0
1970/01/01/07:01:34.839000,8.2,-0.0544999837875,0.0423500537872,0,0,0,0
1970/01/01/07:01:34.890000,8.25,-0.0529999732971,0.0412000417709,0,0,0,0
