rosbagTimestamp,linear,x,y,z,angular,x,y,z
79982000000,,0.0,0.0,0.0,,0.0,0.0,0.0
79992000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80002000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80012000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80022000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80032000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80042000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80053000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80062000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80072000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80082000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80092000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80102000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80113000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80122000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80132000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80142000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80152000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80162000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80172000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80182000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80193000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80202000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80212000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80222000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80232000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80242000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80252000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80262000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80272000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80282000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80292000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80302000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80312000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80324000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80332000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80342000000,,0.0,0.0,0.0,,0.0,0.0,0.0
80352000000,,0.0,0.0,0.0,,0.0,0.0,0.0
