rosbagTimestamp,layout,dim,data_offset,data
81755000000,,[],0,"[4.449713706970215, 4.59737491607666]"
81765000000,,[],0,"[4.658820629119873, 4.83013391494751]"
81774000000,,[],0,"[4.865278244018555, 5.034635066986084]"
81784000000,,[],0,"[5.068560600280762, 5.239471435546875]"
81794000000,,[],0,"[5.25029993057251, 5.259949684143066]"
81804000000,,[],0,"[5.26846981048584, 5.4818034172058105]"
81815000000,,[],0,"[5.463632106781006, 5.702035903930664]"
81825000000,,[],0,"[5.655591011047363, 5.919776916503906]"
81835000000,,[],0,"[5.845639228820801, 6.136077880859375]"
81845000000,,[],0,"[6.033953666687012, 6.349687576293945]"
81854000000,,[],0,"[6.2183308601379395, 6.585630416870117]"
81864000000,,[],0,"[6.399880886077881, 6.793302536010742]"
81874000000,,[],0,"[6.578641414642334, 6.997580528259277]"
81885000000,,[],0,"[6.754437446594238, 7.173101902008057]"
81895000000,,[],0,"[6.926052570343018, 7.3542561531066895]"
81905000000,,[],0,"[7.0791239738464355, 7.372365474700928]"
81915000000,,[],0,"[7.094426155090332, 7.568114757537842]"
81924000000,,[],0,"[7.260222911834717, 7.761285781860352]"
81934000000,,[],0,"[7.4231390953063965, 7.9528608322143555]"
81946000000,,[],0,"[7.5825347900390625, 8.144416809082031]"
81954000000,,[],0,"[7.741020679473877, 8.333115577697754]"
81965000000,,[],0,"[7.896903038024902, 8.518482208251953]"
81975000000,,[],0,"[8.050432205200195, 8.72555923461914]"
81984000000,,[],0,"[8.200776100158691, 8.881552696228027]"
81994000000,,[],0,"[8.347716331481934, 9.059952735900879]"
82004000000,,[],0,"[8.49195671081543, 9.219582557678223]"
82015000000,,[],0,"[8.621066093444824, 9.235539436340332]"
82025000000,,[],0,"[8.633971214294434, 9.408324241638184]"
82034000000,,[],0,"[8.773856163024902, 9.578624725341797]"
82044000000,,[],0,"[8.911053657531738, 9.747462272644043]"
82054000000,,[],0,"[9.045653343200684, 9.940934181213379]"
82065000000,,[],0,"[9.179373741149902, 10.082147598266602]"
82074000000,,[],0,"[9.311131477355957, 10.245317459106445]"
82084000000,,[],0,"[9.43993091583252, 10.431346893310547]"
82094000000,,[],0,"[9.565921783447266, 10.590489387512207]"
82104000000,,[],0,"[9.714811325073242, 10.722528457641602]"
82115000000,,[],0,"[9.812163352966309, 10.86213207244873]"
82124000000,,[],0,"[9.921744346618652, 10.876084327697754]"
82134000000,,[],0,"[9.932696342468262, 11.051884651184082]"
82144000000,,[],0,"[10.048823356628418, 11.177952766418457]"
82155000000,,[],0,"[10.163528442382812, 11.327147483825684]"
82164000000,,[],0,"[10.27689266204834, 11.474839210510254]"
82175000000,,[],0,"[10.388700485229492, 11.621238708496094]"
82184000000,,[],0,"[10.497865676879883, 11.791399002075195]"
82194000000,,[],0,"[10.604903221130371, 11.934425354003906]"
82205000000,,[],0,"[10.710343360900879, 12.075190544128418]"
82215000000,,[],0,"[10.814425468444824, 12.188361167907715]"
82225000000,,[],0,"[10.916948318481445, 12.311590194702148]"
82235000000,,[],0,"[11.007426261901855, 12.323904991149902]"
82245000000,,[],0,"[11.016467094421387, 12.458687782287598]"
82255000000,,[],0,"[11.114080429077148, 12.615962982177734]"
82265000000,,[],0,"[11.21078109741211, 12.72264575958252]"
82275000000,,[],0,"[11.305928230285645, 12.853513717651367]"
82285000000,,[],0,"[11.399134635925293, 12.98286247253418]"
82294000000,,[],0,"[11.490950584411621, 13.110167503356934]"
82304000000,,[],0,"[11.581637382507324, 13.259961128234863]"
82314000000,,[],0,"[11.671045303344727, 13.382938385009766]"
82324000000,,[],0,"[11.757949829101562, 13.481334686279297]"
82334000000,,[],0,"[11.842582702636719, 13.591485023498535]"
82345000000,,[],0,"[11.918712615966797, 13.699321746826172]"
82354000000,,[],0,"[11.92631721496582, 13.72082233428955]"
82364000000,,[],0,"[12.008753776550293, 13.862242698669434]"
82374000000,,[],0,"[12.089517593383789, 13.953516960144043]"
82385000000,,[],0,"[12.167675018310547, 14.06968879699707]"
82395000000,,[],0,"[12.245559692382812, 14.184624671936035]"
82405000000,,[],0,"[12.322514533996582, 14.296917915344238]"
82414000000,,[],0,"[12.397442817687988, 14.433330535888672]"
82424000000,,[],0,"[12.469728469848633, 14.54476547241211]"
82434000000,,[],0,"[12.541191101074219, 14.629232406616211]"
82444000000,,[],0,"[12.611701011657715, 14.72635555267334]"
82454000000,,[],0,"[12.674592971801758, 14.736058235168457]"
82463000000,,[],0,"[12.680872917175293, 14.865518569946289]"
82474000000,,[],0,"[12.748932838439941, 14.969413757324219]"
82484000000,,[],0,"[12.81506061553955, 15.048356056213379]"
82494000000,,[],0,"[12.880474090576172, 15.15080738067627]"
82505000000,,[],0,"[12.945438385009766, 15.251583099365234]"
82515000000,,[],0,"[13.008380889892578, 15.351987838745117]"
