rosbagTimestamp,layout,dim,data_offset,data
81424000000,,[],0,"[-0.003767416812479496, 0.018451744690537453]"
81435000000,,[],0,"[-0.003690885379910469, 0.01803499646484852]"
81445000000,,[],0,"[-0.0036172654945403337, 0.01763289049267769]"
81456000000,,[],0,"[-0.003546226304024458, 0.017278682440519333]"
81465000000,,[],0,"[-0.0034840358421206474, 0.017243612557649612]"
81475000000,,[],0,"[-0.0034778930712491274, 0.01686837710440159]"
81484000000,,[],0,"[-0.0034120616037398577, 0.016504354774951935]"
81496000000,,[],0,"[-0.0033486837055534124, 0.01615099236369133]"
81504000000,,[],0,"[-0.003287181258201599, 0.01580602116882801]"
81514000000,,[],0,"[-0.003227359615266323, 0.015472713857889175]"
81525000000,,[],0,"[-0.0031697414815425873, 0.015150700695812702]"
81535000000,,[],0,"[-0.0031143322121351957, 0.014840125106275082]"
81544000000,,[],0,"[-0.0030609171371906996, 0.014539655297994614]"
81554000000,,[],0,"[-0.0030095065012574196, 0.01424942072480917]"
81565000000,,[],0,"[-0.009285816922783852, 0.0006400228594429791]"
81575000000,,[],0,"[-0.016113007441163063, -0.0007737255655229092]"
81585000000,,[],0,"[-0.016853855922818184, -0.016331899911165237]"
81594000000,,[],0,"[-0.02506176382303238, -0.03388053551316261]"
81604000000,,[],0,"[-0.03383468836545944, -0.05037650465965271]"
81614000000,,[],0,"[-0.04316320642828941, -0.06568142026662827]"
81625000000,,[],0,"[-0.05307125672698021, -0.08448389172554016]"
81635000000,,[],0,"[-0.06347765773534775, -0.10023842006921768]"
81645000000,,[],0,"[-0.07432841509580612, -0.119657501578331]"
81655000000,,[],0,"[-0.08558331429958344, -0.13753588497638702]"
81665000000,,[],0,"[-0.0972505733370781, -0.15376688539981842]"
81674000000,,[],0,"[-0.10931091755628586, -0.1703357696533203]"
81685000000,,[],0,"[-0.12062732130289078, -0.1870470494031906]"
81694000000,,[],0,"[-0.12181456387042999, -0.19048327207565308]"
81705000000,,[],0,"[-0.1347278505563736, -0.20918314158916473]"
81715000000,,[],0,"[-0.14799247682094574, -0.228056862950325]"
81731000000,,[],0,"[-0.16921000182628632, -0.255889892578125]"
81735000000,,[],0,"[-0.17579855024814606, -0.2666723430156708]"
81745000000,,[],0,"[-0.19019715487957, -0.2884373366832733]"
81755000000,,[],0,"[-0.20478028059005737, -0.30798423290252686]"
81765000000,,[],0,"[-0.21966569125652313, -0.32767143845558167]"
81774000000,,[],0,"[-0.23491905629634857, -0.34511885046958923]"
81784000000,,[],0,"[-0.2505166530609131, -0.3632831871509552]"
81794000000,,[],0,"[-0.2649994492530823, -0.36515021324157715]"
81804000000,,[],0,"[-0.26650235056877136, -0.38533419370651245]"
81815000000,,[],0,"[-0.28245580196380615, -0.40537479519844055]"
81825000000,,[],0,"[-0.29869791865348816, -0.4256376326084137]"
81835000000,,[],0,"[-0.31532022356987, -0.4462369680404663]"
81845000000,,[],0,"[-0.332245409488678, -0.46679922938346863]"
81854000000,,[],0,"[-0.34919893741607666, -0.49007126688957214]"
81864000000,,[],0,"[-0.3664293885231018, -0.5107169151306152]"
81874000000,,[],0,"[-0.38393718004226685, -0.5315002799034119]"
81885000000,,[],0,"[-0.401704877614975, -0.5494298338890076]"
81895000000,,[],0,"[-0.4192887842655182, -0.5680060982704163]"
81905000000,,[],0,"[-0.4353904128074646, -0.5699126720428467]"
81915000000,,[],0,"[-0.4370531141757965, -0.5904136300086975]"
81924000000,,[],0,"[-0.4550635814666748, -0.6110857725143433]"
81934000000,,[],0,"[-0.47320637106895447, -0.6317605376243591]"
81946000000,,[],0,"[-0.4911212921142578, -0.6522135734558105]"
81954000000,,[],0,"[-0.5094151496887207, -0.6727840900421143]"
81965000000,,[],0,"[-0.527908444404602, -0.6934328079223633]"
81975000000,,[],0,"[-0.546626091003418, -0.7175276875495911]"
81984000000,,[],0,"[-0.5652377605438232, -0.7346462607383728]"
81994000000,,[],0,"[-0.583720326423645, -0.754872739315033]"
82004000000,,[],0,"[-0.6022394895553589, -0.773154079914093]"
82015000000,,[],0,"[-0.6192513704299927, -0.7750306725502014]"
82025000000,,[],0,"[-0.6210042834281921, -0.795300304889679]"
82034000000,,[],0,"[-0.6399723291397095, -0.8156512975692749]"
82044000000,,[],0,"[-0.6589571237564087, -0.8359589576721191]"
82054000000,,[],0,"[-0.6777495741844177, -0.8597955107688904]"
82065000000,,[],0,"[-0.6968450546264648, -0.8763641715049744]"
82074000000,,[],0,"[-0.7160963416099548, -0.8967042565345764]"
82084000000,,[],0,"[-0.7351888418197632, -0.9204553961753845]"
82094000000,,[],0,"[-0.7541525959968567, -0.9402860999107361]"
82104000000,,[],0,"[-0.7766281962394714, -0.9563621878623962]"
82115000000,,[],0,"[-0.7924712896347046, -0.9744954705238342]"
82124000000,,[],0,"[-0.8102356791496277, -0.9763579964637756]"
