time,.x,.y,.z
1970/01/01/07:21:48.485000,0.0,0.0,0.0
1970/01/01/07:21:48.535000,-0.000106421535317,4.58551672235e-05,0.0
1970/01/01/07:21:48.585000,-0.000106421535317,4.58551672235e-05,0.0
1970/01/01/07:21:48.635000,-0.000372437329302,0.000161224430096,0.0
1970/01/01/07:21:48.685000,-0.000372437329302,0.000161224430096,0.0
1970/01/01/07:21:48.736000,-0.000674092297797,0.000292616728475,0.0
1970/01/01/07:21:48.785000,-0.000674092297797,0.000292616728475,0.0
1970/01/01/07:21:48.835000,-0.000990128303841,0.000430499951687,0.0
1970/01/01/07:21:48.885000,-0.000990128303841,0.000430499951687,0.0
1970/01/01/07:21:48.935000,-0.00131135723808,0.000570740829037,0.0
1970/01/01/07:21:48.985000,-0.00131135723808,0.000570740829037,0.0
1970/01/01/07:21:49.036000,-0.00163358117102,0.00071145416285,0.0
1970/01/01/07:21:49.085000,-0.00179437472975,0.000781678514171,0.0
1970/01/01/07:21:49.135000,-0.00195472787613,0.000851712985403,0.0
1970/01/01/07:21:49.185000,-0.00195472787613,0.000851712985403,0.0
1970/01/01/07:21:49.236000,-0.0022736456358,0.000991005009814,0.0
1970/01/01/07:21:49.285000,-0.00243202878066,0.00106018236902,0.0
1970/01/01/07:21:49.335000,-0.0025895964677,0.00112900399576,0.0
1970/01/01/07:21:49.385000,-0.00274628652095,0.00119744257764,0.0
1970/01/01/07:21:49.435000,-0.00290204339461,0.00126547375248,0.0
1970/01/01/07:21:49.485000,-0.00305681687863,0.00133307552395,0.0
1970/01/01/07:21:49.535000,-0.00321056125339,0.00140022788002,0.0
1970/01/01/07:21:49.585000,-0.00336323473056,0.00146691254065,0.0
1970/01/01/07:21:49.636000,-0.00351479907464,0.00153311278732,0.0
1970/01/01/07:21:49.685000,-0.00366521933683,0.00159881334339,0.0
1970/01/01/07:21:49.736000,-0.00366521933683,0.00159881334339,0.0
1970/01/01/07:21:49.785000,-0.00396251653131,0.00172866683636,0.0
1970/01/01/07:21:49.835000,-0.00410931934574,0.00179278739207,0.0
1970/01/01/07:21:49.886000,-0.00425487010559,0.00185636107898,0.0
1970/01/01/07:21:49.935000,-0.00439914673819,0.00191937825482,0.0
1970/01/01/07:21:49.986000,-0.00439914673819,0.00191937825482,0.0
1970/01/01/07:21:50.035000,-0.00468380401275,0.00204371091916,0.0
1970/01/01/07:21:50.085000,-0.00468380401275,0.00204371091916,0.0
1970/01/01/07:21:50.135000,-0.00482415394785,0.00210501299457,0.0
1970/01/01/07:21:50.185000,-0.00510083556416,0.00222586205273,0.0
1970/01/01/07:21:50.235000,-0.00510083556416,0.00222586205273,0.0
1970/01/01/07:21:50.286000,-0.00537209972969,0.00234434487629,0.0
1970/01/01/07:21:50.335000,-0.00550568361528,0.00240269167619,0.0
1970/01/01/07:21:50.386000,-0.00550568361528,0.00240269167619,0.0
1970/01/01/07:21:50.435000,-0.00576873225994,0.00251758612309,0.0
1970/01/01/07:21:50.485000,-0.00576873225994,0.00251758612309,0.0
1970/01/01/07:21:50.535000,-0.00589819038884,0.00257413087415,0.0
1970/01/01/07:21:50.585000,-0.00602626729997,0.00263007233661,0.0
1970/01/01/07:21:50.635000,-0.00615296009563,0.0026854092448,0.0
1970/01/01/07:21:50.685000,-0.0064008790692,0.00279369535066,0.0
1970/01/01/07:21:50.736000,-0.0064008790692,0.00279369535066,0.0
1970/01/01/07:21:50.785000,-0.00652436254546,0.00284763049161,0.0
1970/01/01/07:21:50.835000,-0.00664907727266,0.00290210341863,0.0
1970/01/01/07:21:50.886000,-0.00688488834171,0.00300510103119,0.0
1970/01/01/07:21:50.935000,-0.00700072825413,0.00305569761459,0.0
1970/01/01/07:21:50.985000,-0.00700072825413,0.00305569761459,0.0
1970/01/01/07:21:51.035000,-0.00722839156477,0.00315513644739,0.0
1970/01/01/07:21:51.085000,-0.00722839156477,0.00315513644739,0.0
1970/01/01/07:21:51.135000,-0.00734012498848,0.0032039393977,0.0
1970/01/01/07:21:51.185000,-0.00745066661691,0.0032522217954,0.0
1970/01/01/07:21:51.236000,-0.00755989994564,0.00329993275366,0.0
1970/01/01/07:21:51.285000,-0.00777598497564,0.0033943144224,0.0
1970/01/01/07:21:51.336000,-0.00777598497564,0.0033943144224,0.0
1970/01/01/07:21:51.385000,-0.00798875538599,0.00348724833081,0.0
1970/01/01/07:21:51.435000,-0.00798875538599,0.00348724833081,0.0
